Отметка времени,Ваш пол,Сколько вам было лет на момент поступления ,В каком городе вы проживали на момент поступления? Введите полное наименование города,Поступаете после 11 класса или после колледжа,Какой у вас был средний балл аттестата,Какие предметы вы любили и хотели изучать в школе,Какие предметы были углубленными,Какие предм,Какие дополнительные предметы (помимо математики и русского языка) вы сдавали на ЕГЭ ,Математика(Количество баллов),Русский(Количество баллов),Первый предмет на выбор(Количество баллов),Второй предмет на выбор (Если не сдавали пропустите вопрос),Насколько хорошо вы знаете английский,"Был ли у вас опыт работы в каких областях, приближенных к выбранному направлению? Если был напишите область, в противном случае оставьте вопрос пустым",Ваш факультет в ВУЗе,Ваше направление,"Насколько вы довольны программой (или были довольны, если перевелись) выбранного направления. Очень просим дать объективный ответ именно по поводу программы обучения, не опираясь на личный опыт, преподавательский или студенческий состав!","Насколько сильно вы хотели принимать участие в различных общественных, спортивных мероприятиях, и прочих внеучебных активностях",Насколько вы спортивный человек,Насколько вам было важно поступить на бюджет,Ходили ли вы на день открытых дверей в МТУСИ,Как вы оцениваете свои способности в самоорганизации учебного процесса,Занимались ли вы с репетиторами во время обучения в старших классах,"Углубленное изучение каких предметов у вас было в школе(Если не было, пропустите вопрос)",Какие дополнительные предметы (помимо математики и русского языка) вы сдавали на ЕГЭ,Были ли у вас успехи в олимпиадах по техническим предметам серьезного уровня (региональные и выше) в старших классах,Чем из перечисленного ниже вы интересовались до поступления в университет,Как много времени вы готовы уделять на саморазвитие в интересующей вас предметной области? (Помимо учебных часов) ,Как вы поступали?,Был ли у вас опыт работы при,Если сдавали больше предметов добавьте баллы через запятую,"Сколько получили за каждый предмет, введите в той же последовательности, что и выбрали",,,Вопрос без заголовка
20.03.2023 18:24:18,Женский,18,Брянск,После 11 класса,4.5,"Русский язык, Математика, Физика",,,,80,96,87,,Могу читать несложные диалоги,,КиИБ (Кибернетика и информационная безопасность),10.05.02 Информационная безопасность телекоммуникационных систем,3,Только учеба,Люблю физические нагрузки в умеренном количестве,Обязательно,Нет,Максимум - выполнение дома заданий от преподавателя,Да,,Физика,Нет,Программирование,Минимальное количество времени,Баллы ЕГЭ,,,,,,
20.03.2023 18:24:29,Мужской,18,Москва,После 11 класса,4,Математика,,,,,,,,Могу читать несложные диалоги,,ИТ (Информационные технологии),09.03.01 Информатика и вычислительная техника,4,Готов сходить на пару заинтересовавших мероприятий,Люблю физические нагрузки в умеренном количестве,Обязательно,Нет,Изучу всё связанное с темой предмета,Нет,,,Нет,,Больше 10 часов в неделю,Баллы ЕГЭ,,,,,,
20.03.2023 18:24:39,Мужской,18,Архангельск,После 11 класса,4,"Математика, История, Информатика",,,,74,78,90,,Могу общаться в повседневных ситуациях,,КиИБ (Кибернетика и информационная безопасность),15.03.04 Автоматизация технологических процессов и производств,4,Готов сходить на пару заинтересовавших мероприятий,Люблю физические нагрузки в умеренном количестве,Обязательно,Нет,Максимум - выполнение дома заданий от преподавателя,Нет,Физика,Информатика,Нет,Программирование,Несколько часов в неделю,Баллы ЕГЭ,,,,,,
20.03.2023 18:24:46,Мужской,17,Реутов,После 11 класса,5,"Русский язык, Математика, История, Химия, Обществознание, Информатика",,,,64,72,75,,Могу читать несложные диалоги,,ИТ (Информационные технологии),09.03.01 Информатика и вычислительная техника,5,Готов сходить на пару заинтересовавших мероприятий,Регулярно занимаюсь любимым видом спорта / в тренажерном зале,Важно,Нет,Максимум - выполнение дома заданий от преподавателя,Нет,"Русский язык, Математика, Химия, Информатика",Информатика,Да,"Программирование, Эксперименты (лабораторные опыты) связанные с химией/физикой",Несколько часов в неделю,Баллы ЕГЭ,,,,,,
20.03.2023 18:24:47,Мужской,18,Бишкек,После 11 класса,4,"Физика, Информатика",,,,,,,,Могу читать несложные диалоги,,ИТ (Информационные технологии),09.03.01 Информатика и вычислительная техника,4,Только учеба,Регулярно занимаюсь любимым видом спорта / в тренажерном зале,Обязательно,Нет,Изучу всё связанное с темой предмета,Нет,"Русский язык, Литература",,Да,"Программирование, Компьютерное 3D-моделирование, Робототехника, Инженерная деятельность, Эксперименты (лабораторные опыты) связанные с химией/физикой",Больше 10 часов в неделю,Квота,,,,,,
20.03.2023 18:24:49,Женский,18,Москва,После 11 класса,4.5,"Математика, Информатика",,,,76,80,70,,Могу общаться в повседневных ситуациях,,СиСС (Сети и системы связи),11.03.02 Инфокоммуникационные технологии и системы связи (СиСС),5,Готов сходить на пару заинтересовавших мероприятий,Предпочитаю лишний раз не двигаться,Обязательно,Да,Готов почитать несколько статей по теме предмета,Да,Иностранный язык,Информатика,Нет,Программирование,Больше 10 часов в неделю,Баллы ЕГЭ,,,,,,
20.03.2023 18:24:52,Мужской,18,Тольятти,После 11 класса,4.5,"Математика, Литература, История, География, Астрономия, Обществознание, Информатика",,,,72,64,68,,Могу общаться в повседневных ситуациях,,ИТ (Информационные технологии),09.03.01 Информатика и вычислительная техника,5,Готов сходить на пару заинтересовавших мероприятий,Нахожусь на профессиональном / полу-профессиональном уровне в своем виде спорта,Важно,Нет,Изучу всё связанное с темой предмета,Да,"Математика, География",Информатика,Нет,"Программирование, Компьютерное 3D-моделирование",Около 10 часов в неделю,Баллы ЕГЭ,,,,,,
20.03.2023 18:25:18,Мужской,18,Москва,После 11 класса,4,"Иностранный язык, Информатика",,,,27,70,67,,Могу общаться в повседневных ситуациях,,КиИБ (Кибернетика и информационная безопасность),10.05.02 Информационная безопасность телекоммуникационных систем,4,Готов сходить на пару заинтересовавших мероприятий,Регулярно занимаюсь любимым видом спорта / в тренажерном зале,Не очень важно,Нет,Максимум - выполнение дома заданий от преподавателя,Нет,"Русский язык, Математика, Информатика",Информатика,Нет,Программирование,Несколько часов в неделю,Баллы ЕГЭ,,,,,,
20.03.2023 18:25:21,Мужской,17,Электросталь,После 11 класса,4.5,"Математика, История, Физика, Обществознание, Информатика",,,,84,76,Информатика 90,Физика 72,Могу читать несложные диалоги,,ИТ (Информационные технологии),09.03.01 Информатика и вычислительная техника,8,Готов сходить на пару заинтересовавших мероприятий,Регулярно занимаюсь любимым видом спорта / в тренажерном зале,Обязательно,Нет,Готов почитать несколько статей по теме предмета,Да,"Математика, Физика, Информатика","Физика, Информатика",Нет,"Программирование, Робототехника",Около 10 часов в неделю,Баллы ЕГЭ,,,,,,
20.03.2023 18:25:31,Мужской,18,Москва,После 11 класса,4,"Математика, Информатика",,,,72,80,68,,Могу читать несложные диалоги,,ИТ (Информационные технологии),09.03.01 Информатика и вычислительная техника,5,Готов сходить на пару заинтересовавших мероприятий,Регулярно занимаюсь любимым видом спорта / в тренажерном зале,Важно,Нет,Готов почитать несколько статей по теме предмета,Нет,"Математика, Иностранный язык, Информатика",Информатика,Нет,"Программирование, Компьютерное 3D-моделирование",Около 10 часов в неделю,Баллы ЕГЭ,,,,,,
20.03.2023 18:25:47,Мужской,17,Село Шарапово,После 11 класса,4,Обществознание,,,,58,59,47,49,Могу читать несложные диалоги,,РиТ (Радио и телевидение),11.03.02 Инфокоммуникационные технологии и системы связи (СиСС),10,Только учеба,Люблю физические нагрузки в умеренном количестве,Важно,Нет,Максимум - выполнение дома заданий от преподавателя,Да,,Физика,Нет,"Программирование, Эксперименты (лабораторные опыты) связанные с химией/физикой",Минимальное количество времени,Баллы ЕГЭ,,,,,,
20.03.2023 18:25:48,Мужской,17,Москва,После 11 класса,4,"Иностранный язык, Астрономия, Информатика",,,,80,84,90,,Могу общаться в повседневных ситуациях,,ИТ (Информационные технологии),09.03.02 Информационные системы и технологии,5,Готов сходить на пару заинтересовавших мероприятий,Регулярно занимаюсь любимым видом спорта / в тренажерном зале,Обязательно,Нет,Максимум - выполнение дома заданий от преподавателя,Да,Информатика,Информатика,Нет,"Программирование, Робототехника",Около 10 часов в неделю,Баллы ЕГЭ,,,,,,
20.03.2023 18:25:55,Женский,17,Тобольск,После 11 класса,5,"Математика, Физика",,,,58,76,58,,Могу общаться в повседневных ситуациях,,ИТ (Информационные технологии),09.03.01 Информатика и вычислительная техника,8,По возможности хотел бы участвовать регулярно,Люблю физические нагрузки в умеренном количестве,Обязательно,Нет,Готов почитать несколько статей по теме предмета,Да,,Физика,Нет,"Программирование, Компьютерное 3D-моделирование, Робототехника, Инженерная деятельность",Больше 10 часов в неделю,Квота,,,,,,
20.03.2023 18:26:01,Мужской,17,Москва,После 11 класса,4,Информатика,,,,60,78,64,,"Могу коммуницировать с носителями, частично знаю деловую речь",,ИТ (Информационные технологии),09.03.01 Информатика и вычислительная техника,5,Готов сходить на пару заинтересовавших мероприятий,Регулярно занимаюсь любимым видом спорта / в тренажерном зале,Не принципиально,Нет,Готов почитать несколько статей по теме предмета,Да,Иностранный язык,Информатика,Нет,"Программирование, Компьютерное 3D-моделирование",Больше 10 часов в неделю,Баллы ЕГЭ,,,,,,
20.03.2023 18:26:08,Мужской,18,Биробиджан,После 11 класса,4,Математика,,,,86,82,93,,"Могу коммуницировать с носителями, частично знаю деловую речь",,ИТ (Информационные технологии),09.03.01 Информатика и вычислительная техника,6,Готов сходить на пару заинтересовавших мероприятий,Регулярно занимаюсь любимым видом спорта / в тренажерном зале,Обязательно,Нет,Готов почитать несколько статей по теме предмета,Нет,"Русский язык, Литература, История, Обществознание",Информатика,Нет,Программирование,Около 10 часов в неделю,Баллы ЕГЭ,,,,,,
20.03.2023 18:26:36,Мужской,18,Казань,После 11 класса,4,"Математика, Иностранный язык, Физика, Информатика",,,,72,69,67,,Могу читать несложные диалоги,,СиСС (Сети и системы связи),11.03.02 Инфокоммуникационные технологии и системы связи (СиСС),8,По возможности хотел бы участвовать регулярно,Люблю физические нагрузки в умеренном количестве,Обязательно,Нет,Максимум - выполнение дома заданий от преподавателя,Нет,"Математика, Физика",Информатика,Да,"Программирование, Компьютерное 3D-моделирование",Около 10 часов в неделю,Баллы ЕГЭ,,,,,,
20.03.2023 18:26:37,Женский,18,Чебоксары ,После 11 класса,5,"Русский язык, Математика, Иностранный язык, История, Химия, Физика, Информатика",,,,86,86,61,75,"Могу коммуницировать с носителями, частично знаю деловую речь",,ИТ (Информационные технологии),09.03.01 Информатика и вычислительная техника,8,"Все возможные мероприятия, на которые хватает времени",Люблю физические нагрузки в умеренном количестве,Обязательно,Нет,Изучу всё связанное с темой предмета,Да,"Математика, Физика, Информатика","Физика, Информатика",Нет,"Программирование, Эксперименты (лабораторные опыты) связанные с химией/физикой",Несколько часов в неделю,Баллы ЕГЭ,,,,,,
20.03.2023 18:26:39,Мужской,17,Москва,После 11 класса,4.5,"Математика, Иностранный язык, Физика, Информатика",,,,76,90,83,,"Могу коммуницировать с носителями, частично знаю деловую речь",,ИТ (Информационные технологии),09.03.01 Информатика и вычислительная техника,5,Готов сходить на пару заинтересовавших мероприятий,Регулярно занимаюсь любимым видом спорта / в тренажерном зале,Важно,Нет,Максимум - выполнение дома заданий от преподавателя,Да,,Информатика,Нет,Программирование,Больше 10 часов в неделю,Баллы ЕГЭ,,,,,,
20.03.2023 18:26:40,Мужской,18,"Заречный, Пензенская область",После 11 класса,3.5,"Русский язык, Математика, Иностранный язык, Информатика",,,,80,90,83,,"Могу коммуницировать с носителями, частично знаю деловую речь",,ИТ (Информационные технологии),09.03.01 Информатика и вычислительная техника,8,Готов сходить на пару заинтересовавших мероприятий,Люблю физические нагрузки в умеренном количестве,Обязательно,Нет,Готов почитать несколько статей по теме предмета,Нет,,Информатика,Нет,,Около 10 часов в неделю,Баллы ЕГЭ,,,,,,
20.03.2023 18:26:51,Мужской,17,Тверь,После 11 класса,4.5,"Русский язык, Математика, Литература, Иностранный язык, Астрономия",,,,81,76,Информатика 83,55,"Свободно общаюсь, глубоко знаю грамматику",,ИТ (Информационные технологии),09.03.02 Информационные системы и технологии,3,Только учеба,Регулярно занимаюсь любимым видом спорта / в тренажерном зале,Обязательно,Нет,Максимум - выполнение дома заданий от преподавателя,Да,"Математика, Физика, Информатика","Физика, Информатика",Нет,"Программирование, Инженерная деятельность",Около 10 часов в неделю,Баллы ЕГЭ,,,,,,
20.03.2023 18:26:53,Женский,18,Королев ,После 11 класса,5,"Математика, Литература, Иностранный язык, История, Биология, Информатика",,,,70,98,88,88,Могу общаться в повседневных ситуациях,,ИТ (Информационные технологии),09.03.01 Информатика и вычислительная техника,7,Готов сходить на пару заинтересовавших мероприятий,Регулярно занимаюсь любимым видом спорта / в тренажерном зале,Обязательно,Нет,Изучу всё связанное с темой предмета,Да,"Математика, Обществознание","Иностранный язык, Информатика",Нет,Программирование,Около 10 часов в неделю,Баллы ЕГЭ,,,,,,
20.03.2023 18:26:55,Мужской,18,Махачкала ,После 11 класса,4.5,"Математика, Физика, Информатика",,,,74,91,83,,"Свободно общаюсь, глубоко знаю грамматику",,ИТ (Информационные технологии),09.03.01 Информатика и вычислительная техника,8,Только учеба,Регулярно занимаюсь любимым видом спорта / в тренажерном зале,Обязательно,Нет,Максимум - выполнение дома заданий от преподавателя,Да,"Математика, Иностранный язык",Информатика,Нет,Программирование,Больше 10 часов в неделю,Баллы ЕГЭ,,,,,,
20.03.2023 18:26:56,Мужской,17,Москва,После 11 класса,4,"Иностранный язык, История, Информатика",,,,74,89,77,,Могу читать несложные диалоги,,ИТ (Информационные технологии),09.03.01 Информатика и вычислительная техника,5,"Все возможные мероприятия, на которые хватает времени",Регулярно занимаюсь любимым видом спорта / в тренажерном зале,Важно,Нет,Максимум - выполнение дома заданий от преподавателя,Да,"Математика, Физика, Информатика",,Нет,,Около 10 часов в неделю,Баллы ЕГЭ,,,,,,
20.03.2023 18:27:35,Женский,17,Москва,После 11 класса,4.5,"Математика, Литература, Биология, Информатика",,,,,,,,Могу общаться в повседневных ситуациях,,СиСС (Сети и системы связи),11.03.02 Инфокоммуникационные технологии и системы связи (СиСС),6,По возможности хотел бы участвовать регулярно,Предпочитаю лишний раз не двигаться,Обязательно,Нет,Готов почитать несколько статей по теме предмета,Да,"Математика, Литература, Иностранный язык, Химия, Биология",Информатика,Да,"Программирование, Компьютерное 3D-моделирование, Эксперименты (лабораторные опыты) связанные с химией/физикой",Несколько часов в неделю,Баллы ЕГЭ,,,,,,
20.03.2023 18:28:01,Женский,18,Москва,После 11 класса,3.5,"Математика, Иностранный язык, Информатика",,,,76,72,67,,Могу общаться в повседневных ситуациях,,РиТ (Радио и телевидение),11.03.02 Инфокоммуникационные технологии и системы связи (РиТ),5,Готов сходить на пару заинтересовавших мероприятий,Регулярно занимаюсь любимым видом спорта / в тренажерном зале,Важно,Нет,Готов почитать несколько статей по теме предмета,Да,Обществознание,Информатика,Нет,Программирование,Несколько часов в неделю,Баллы ЕГЭ,,,,,,
20.03.2023 18:28:21,Женский,17,Раменское ,После 11 класса,4.5,"Русский язык, Математика, Литература, Иностранный язык, Информатика",,,,78,85,85,68,"Могу коммуницировать с носителями, частично знаю деловую речь",,ИТ (Информационные технологии),09.03.01 Информатика и вычислительная техника,7,Только учеба,Люблю физические нагрузки в умеренном количестве,Обязательно,Нет,Максимум - выполнение дома заданий от преподавателя,Да,,"Иностранный язык, Информатика",Нет,Программирование,Несколько часов в неделю,Баллы ЕГЭ,,,,,,
20.03.2023 18:28:43,Женский,17,Владикавказ ,После 11 класса,4.5,"Русский язык, Математика, Иностранный язык, Информатика",,,,34,75,75,,"Могу коммуницировать с носителями, частично знаю деловую речь",,ИТ (Информационные технологии),09.03.01 Информатика и вычислительная техника,8,По возможности хотел бы участвовать регулярно,Нахожусь на профессиональном / полу-профессиональном уровне в своем виде спорта,Важно,Нет,Готов почитать несколько статей по теме предмета,Да,Иностранный язык,Информатика,Нет,"Программирование, Компьютерное 3D-моделирование",Около 10 часов в неделю,Баллы ЕГЭ,,,,,,
20.03.2023 18:28:45,Мужской,18,Подольск,После 11 класса,5,"Математика, Иностранный язык, Обществознание, Информатика",,,,78,87,75,,"Могу коммуницировать с носителями, частично знаю деловую речь",,ИТ (Информационные технологии),09.03.01 Информатика и вычислительная техника,8,Готов сходить на пару заинтересовавших мероприятий,Люблю физические нагрузки в умеренном количестве,Важно,Нет,Готов почитать несколько статей по теме предмета,Да,"Математика, Физика, Информатика",Информатика,Нет,Программирование,Несколько часов в неделю,Баллы ЕГЭ,,,,,,
20.03.2023 18:28:45,Мужской,18,Баха,После 11 класса,5,"Математика, Информатика",,,,74,69,85,,Обладаю базовым словарным запасом,,СиСС (Сети и системы связи),11.03.02 Инфокоммуникационные технологии и системы связи (СиСС),5,Только учеба,Люблю физические нагрузки в умеренном количестве,Обязательно,Нет,Готов почитать несколько статей по теме предмета,Нет,"Математика, Физика, Информатика",Информатика,Нет,Программирование,Около 10 часов в неделю,Баллы ЕГЭ,,,,,,
20.03.2023 18:28:51,Мужской,17,Чебоксары,После 11 класса,3.5,"Математика, Информатика",,,,72,72,72,57,Могу общаться в повседневных ситуациях,,ИТ (Информационные технологии),09.03.01 Информатика и вычислительная техника,7,Готов сходить на пару заинтересовавших мероприятий,Предпочитаю лишний раз не двигаться,Важно,Нет,Готов почитать несколько статей по теме предмета,Нет,"Математика, Литература, Иностранный язык, История, Химия, Биология, Физика, География, Обществознание, Информатика","Физика, Информатика",Да,Программирование,Больше 10 часов в неделю,Баллы ЕГЭ,,,,,,
20.03.2023 18:28:54,Мужской,17,Москва,После 11 класса,4,"Иностранный язык, Информатика",,,,58,63,64,73,"Могу коммуницировать с носителями, частично знаю деловую речь",,ИТ (Информационные технологии),09.03.01 Информатика и вычислительная техника,5,Только учеба,Предпочитаю лишний раз не двигаться,Не очень важно,Нет,Максимум - выполнение дома заданий от преподавателя,Да,,"Иностранный язык, Информатика",Нет,Программирование,Несколько часов в неделю,Баллы ЕГЭ,,,,,,
20.03.2023 18:29:06,Мужской,18,Москва ,После 11 класса,5,"Математика, Иностранный язык, Информатика",,,,82,80,80,,"Могу коммуницировать с носителями, частично знаю деловую речь",,ИТ (Информационные технологии),09.03.01 Информатика и вычислительная техника,6,Готов сходить на пару заинтересовавших мероприятий,Регулярно занимаюсь любимым видом спорта / в тренажерном зале,Важно,Нет,Готов почитать несколько статей по теме предмета,Да,Математика,Информатика,Нет,Программирование,Около 10 часов в неделю,Баллы ЕГЭ,,,,,,
20.03.2023 18:29:14,Мужской,18,Бугульма,После 11 класса,4.5,Информатика,,,,76,89,84,,Могу общаться в повседневных ситуациях,,ИТ (Информационные технологии),09.03.02 Информационные системы и технологии,6,Готов сходить на пару заинтересовавших мероприятий,Люблю физические нагрузки в умеренном количестве,Обязательно,Нет,Готов почитать несколько статей по теме предмета,Нет,"Иностранный язык, Физика",Информатика,Нет,Компьютерное 3D-моделирование,Несколько часов в неделю,Баллы ЕГЭ,,,,,,
20.03.2023 18:29:21,Мужской,18,Москва,После 11 класса,4,"Математика, История, Химия, Биология, Информатика",,,,72,67,Информатика 80,,Могу читать несложные диалоги,,ИТ (Информационные технологии),09.03.01 Информатика и вычислительная техника,7,Готов сходить на пару заинтересовавших мероприятий,Люблю физические нагрузки в умеренном количестве,Не очень важно,Нет,Готов почитать несколько статей по теме предмета,Да,,Информатика,Нет,Программирование,Несколько часов в неделю,Баллы ЕГЭ,,,,,,
20.03.2023 18:29:25,Мужской,17,"Московская область, г.Мытищи",После 11 класса,4.5,"Русский язык, Физика, Информатика",,,,50,78,88,,"Могу коммуницировать с носителями, частично знаю деловую речь",,ИТ (Информационные технологии),09.03.01 Информатика и вычислительная техника,7,Готов сходить на пару заинтересовавших мероприятий,Регулярно занимаюсь любимым видом спорта / в тренажерном зале,Обязательно,Нет,Готов почитать несколько статей по теме предмета,Да,"Математика, Биология",Информатика,Нет,"Программирование, Компьютерное 3D-моделирование, Робототехника",Несколько часов в неделю,Баллы ЕГЭ,,,,,,
20.03.2023 18:29:25,Мужской,18,Москва,После 11 класса,4.5,"Математика, Иностранный язык, Физика, Информатика",,,,,,,,Знаю примерно на уровне носителя языка,,СиСС (Сети и системы связи),11.03.02 Инфокоммуникационные технологии и системы связи (СиСС),7,По возможности хотел бы участвовать регулярно,Регулярно занимаюсь любимым видом спорта / в тренажерном зале,Обязательно,Нет,Максимум - выполнение дома заданий от преподавателя,Нет,"Математика, Информатика","Физика, Информатика",Нет,"Программирование, Робототехника",Несколько часов в неделю,Баллы ЕГЭ,,,,,,
20.03.2023 18:29:34,Мужской,18,18,После 11 класса,4.5,"Математика, Физика, Астрономия",,,,84,67,70,,Могу общаться в повседневных ситуациях,,РиТ (Радио и телевидение),11.03.02 Инфокоммуникационные технологии и системы связи (РиТ),7,Готов сходить на пару заинтересовавших мероприятий,Люблю физические нагрузки в умеренном количестве,Обязательно,Нет,Максимум - выполнение дома заданий от преподавателя,Да,,Физика,Да,Эксперименты (лабораторные опыты) связанные с химией/физикой,Несколько часов в неделю,Баллы ЕГЭ,,,,,,
20.03.2023 18:29:35,Женский,17,г.Якутск,После 11 класса,5,"Математика, Литература, Физика, Информатика",,,,76,80,74,,Могу общаться в повседневных ситуациях,,ИТ (Информационные технологии),09.03.02 Информационные системы и технологии,6,Готов сходить на пару заинтересовавших мероприятий,Люблю физические нагрузки в умеренном количестве,Обязательно,Нет,Готов почитать несколько статей по теме предмета,Нет,"Физика, Информатика",Информатика,Да,"Программирование, Компьютерное 3D-моделирование",Около 10 часов в неделю,Баллы ЕГЭ,,,,,,
20.03.2023 18:29:49,Мужской,19,Ковров,После 11 класса,5,Информатика,,,,68,76,70,42,Могу читать несложные диалоги,,РиТ (Радио и телевидение),11.03.02 Инфокоммуникационные технологии и системы связи (РиТ),8,Готов сходить на пару заинтересовавших мероприятий,Люблю физические нагрузки в умеренном количестве,Важно,Нет,Максимум - выполнение дома заданий от преподавателя,Да,Математика,"Физика, Информатика",Нет,"Программирование, Компьютерное 3D-моделирование, Робототехника",Несколько часов в неделю,Баллы ЕГЭ,,,,,,
20.03.2023 18:29:50,Мужской,18,Москва,После 11 класса,4,Информатика,,,,78,64,78,,"Могу коммуницировать с носителями, частично знаю деловую речь",,СиСС (Сети и системы связи),11.03.02 Инфокоммуникационные технологии и системы связи (СиСС),3,По возможности хотел бы участвовать регулярно,Нахожусь на профессиональном / полу-профессиональном уровне в своем виде спорта,Важно,Нет,Изучу всё связанное с темой предмета,Да,"Математика, Обществознание, Информатика",Информатика,Нет,Программирование,Больше 10 часов в неделю,Баллы ЕГЭ,,,,,,
20.03.2023 18:29:57,Мужской,19,Мытищи,После колледжа,4,"География, Астрономия, Информатика",,,,,,,,Могу читать несложные диалоги,,КиИБ (Кибернетика и информационная безопасность),10.05.02 Информационная безопасность телекоммуникационных систем,3,"Все возможные мероприятия, на которые хватает времени",Люблю физические нагрузки в умеренном количестве,Обязательно,Нет,Готов почитать несколько статей по теме предмета,Да,,,Нет,Компьютерное 3D-моделирование,Минимальное количество времени,Квота,,,,,,
20.03.2023 18:30:04,Мужской,18,Москва,После 11 класса,4,"Русский язык, Иностранный язык, Физика, Информатика",,,,68,96,86,72,Могу общаться в повседневных ситуациях,,ИТ (Информационные технологии),09.03.01 Информатика и вычислительная техника,6,Готов сходить на пару заинтересовавших мероприятий,Люблю физические нагрузки в умеренном количестве,Важно,Да,Готов почитать несколько статей по теме предмета,Нет,"Математика, Информатика",Иностранный язык,Нет,Программирование,Несколько часов в неделю,Баллы ЕГЭ,,,,,,
20.03.2023 18:30:17,Женский,18,Александров,После 11 класса,5,"Математика, История, Химия, Биология, Физика",,,,68,76,67,,Могу общаться в повседневных ситуациях,,РиТ (Радио и телевидение),11.03.02 Инфокоммуникационные технологии и системы связи (РиТ),7,Готов сходить на пару заинтересовавших мероприятий,Регулярно занимаюсь любимым видом спорта / в тренажерном зале,Обязательно,Нет,Максимум - выполнение дома заданий от преподавателя,Да,"Математика, Химия, Биология, Физика",Информатика,Нет,"Программирование, Компьютерное 3D-моделирование, Робототехника, Инженерная деятельность",Несколько часов в неделю,Баллы ЕГЭ,,,,,,
20.03.2023 18:30:31,Мужской,18,Алматы,После 11 класса,4,"Математика, Иностранный язык, Физика, Информатика",,,,,,,,Могу общаться в повседневных ситуациях,,ИТ (Информационные технологии),09.03.01 Информатика и вычислительная техника,7,Готов сходить на пару заинтересовавших мероприятий,Люблю физические нагрузки в умеренном количестве,Не принципиально,Нет,Готов почитать несколько статей по теме предмета,Да,,,Нет,"Программирование, Инженерная деятельность",Около 10 часов в неделю,Вступительные испытания,,,,,,
20.03.2023 18:30:40,Мужской,18,Канаш,После 11 класса,4.5,"Математика, Химия, Физика, Информатика",,,,74,91,73,55,Могу общаться в повседневных ситуациях,,ИТ (Информационные технологии),09.03.01 Информатика и вычислительная техника,8,Готов сходить на пару заинтересовавших мероприятий,Регулярно занимаюсь любимым видом спорта / в тренажерном зале,Обязательно,Нет,Готов почитать несколько статей по теме предмета,Нет,,"Физика, Информатика",Нет,"Программирование, Эксперименты (лабораторные опыты) связанные с химией/физикой",Больше 10 часов в неделю,Баллы ЕГЭ,,,,,,
20.03.2023 18:30:52,Женский,18,Кострома,После 11 класса,4.5,"Математика, Обществознание, Информатика",,,,,,,,"Могу коммуницировать с носителями, частично знаю деловую речь",,РиТ (Радио и телевидение),11.03.02 Инфокоммуникационные технологии и системы связи (РиТ),4,По возможности хотел бы участвовать регулярно,Предпочитаю лишний раз не двигаться,Обязательно,Нет,Максимум - выполнение дома заданий от преподавателя,Да,"Иностранный язык, Обществознание",,Да,Программирование,Больше 10 часов в неделю,Баллы ЕГЭ,,,,,,
20.03.2023 18:31:09,Мужской,18,Обнинск,После 11 класса,4.5,"Математика, Физика, Обществознание, Информатика",,,,72,76,77,,Могу читать несложные диалоги,,ИТ (Информационные технологии),09.03.01 Информатика и вычислительная техника,6,Готов сходить на пару заинтересовавших мероприятий,Люблю физические нагрузки в умеренном количестве,Обязательно,Нет,Максимум - выполнение дома заданий от преподавателя,Нет,,Информатика,Нет,"Программирование, Робототехника",Около 10 часов в неделю,Баллы ЕГЭ,,,,,,
20.03.2023 18:31:12,Мужской,17,Бишкек,После 11 класса,5,"Русский язык, Математика, Литература, Иностранный язык, История, Химия, Биология, Физика, Астрономия, Информатика",,,,,,,,"Свободно общаюсь, глубоко знаю грамматику",,ИТ (Информационные технологии),09.03.01 Информатика и вычислительная техника,8,Готов сходить на пару заинтересовавших мероприятий,Регулярно занимаюсь любимым видом спорта / в тренажерном зале,Обязательно,Нет,Изучу всё связанное с темой предмета,Да,"Русский язык, Литература",,Да,"Программирование, Компьютерное 3D-моделирование, Инженерная деятельность, Эксперименты (лабораторные опыты) связанные с химией/физикой",Больше 10 часов в неделю,Квота,,,,,,
20.03.2023 18:31:18,Женский,19,Воронеж,После колледжа,5,"Литература, Информатика",,,,78,89,88,,Могу читать несложные диалоги,,ИТ (Информационные технологии),09.03.01 Информатика и вычислительная техника,5,Готов сходить на пару заинтересовавших мероприятий,Люблю физические нагрузки в умеренном количестве,Обязательно,Да,Готов почитать несколько статей по теме предмета,Нет,,Информатика,Нет,,Больше 10 часов в неделю,Баллы ЕГЭ,,,,,,
